Block number,Time,Gas used,Gas limit,Base fee per gas
12965000,1628166822,30025257,30029122,1000000000
12965001,1628166835,29985144,29999798,1124967822
12965002,1628166854,29950343,29970503,1265451421
12965003,1628166857,29933895,29941236,1423420054
12965004,1628166868,29895283,29911998,1601260312
12965005,1628166900,29874058,29882789,1801194152
12965006,1628166925,29902274,29911970,2026211870
12965007,1628166950,29868403,29882761,2279324154
12965008,1628166952,29852469,29853580,2563965901
12965009,1628166956,29812344,29824428,2884437784
12965010,1628166970,29834559,29853552,3244700334
12965011,1628166972,29821506,29824400,3649771801
12965012,1628167016,29791321,29795276,4105904737
12965013,1628167039,29751403,29766181,4619006575
12965014,1628167052,29716749,29737114,5195809136
12965015,1628167057,29698670,29708075,5844395710
12965016,1628167061,29664528,29679065,6574482667
12965017,1628167065,29643244,29650083,7395487999
12965018,1628167072,29676451,29679037,8319497605
12965019,1628167073,29641833,29650055,9359253651
12965020,1628167092,29608627,29621101,10528511602
12965021,1628167111,29649641,29650026,11843467202
12965022,1628167114,29669601,29678980,13323862155
12965023,1628167126,29700960,29707962,14988292289
12965024,1628167141,29721369,29736972,16860945661
12965025,1628167151,0,29707933,18966352132
12965026,1628167152,29664186,29678923,16595558116
12965027,1628167154,29643680,29649941,18667942898
12965028,1628167157,29619500,29620987,21000450418
12965029,1628167228,29631069,29649912,23625243337
12965030,1628167234,0,29620959,26574645197
12965031,1628167235,18101470,29649884,23252814548
12965032,1628167237,17509052,29678837,23895215863
12965033,1628167240,29697328,29707819,24432564099
12965034,1628167276,2722694,29736829,27484477791
12965035,1628167278,20176654,29765867,24678035460
12965036,1628167292,8118034,29736800,25775253953
12965037,1628167302,7522728,29707762,24312483935
12965038,1628167308,29722158,29736772,22812551531
12965039,1628167342,25234275,29707734,25661317691
12965040,1628167373,29678353,29678724,27902947323
12965041,1628167380,6891482,29649742,31390728537
12965042,1628167385,21610048,29620789,29290922235
12965043,1628167408,7501502,29591864,30971905000
12965044,1628167419,3114246,29562967,29063252060
12965045,1628167420,24329294,29591836,26195746735
12965046,1628167429,8483661,29562939,28305567693
12965047,1628167438,25621487,29534070,26798080255
12965048,1628167455,23295622,29562910,29260308419
12965049,1628167486,2573469,29534041,31367062729
12965050,1628167491,18088348,29562881,28129477564
12965051,1628167495,21080948,29534012,28916119413
12965052,1628167512,16240958,29562852,30461580802
12965053,1628167522,6129101,29533984,30837556468
12965054,1628167524,6873964,29505144,28582768802
12965055,1628167530,7393700,29476332,26674691088
12965056,1628167538,29496747,29505116,25013092202
12965057,1628167567,15880918,29476304,28137955013
12965058,1628167569,27151894,29447520,28410674909
12965059,1628167580,10678917,29418764,31408309979
12965060,1628167583,13414632,29390036,30332550185
12965061,1628167594,29398023,29418736,30002188455
12965062,1628167726,29441622,29447464,33747181063
12965063,1628167748,29397439,29418708,37963904943
12965064,1628167800,23631563,29447436,42702531319
12965065,1628167841,9377549,29476192,45931908658
12965066,1628167866,5826010,29504976,43843611812
12965067,1628167867,18230956,29533788,40527484422
12965068,1628167875,9977570,29504948,41715866680
12965069,1628167888,15516307,29533760,40028105202
12965070,1628167897,8581867,29504920,40282036150
12965071,1628167906,455285,29476108,38175912407
12965072,1628167909,25232641,29447324,33551338683
12965073,1628167911,10479802,29418568,36544737282
12965074,1628167924,959310,29389840,35231235989
12965075,1628167925,29415632,29418540,31114826055
12965076,1628167933,13577937,29447268,35003410392
12965077,1628167947,13119840,29418512,34662943305
12965078,1628167962,9211097,29447240,34194753100
12965079,1628167969,29403544,29418484,32594438751
12965080,1628167978,5288779,29389757,36664605372
12965081,1628167987,14568966,29361058,33731007456
12965082,1628168010,21759183,29389729,33698965590
12965083,1628168014,4636978,29418428,35723994903
12965084,1628168019,13349661,29389701,32666213336
12965085,1628168023,22421970,29418400,32292423957
12965086,1628168039,19510437,29389673,34408990788
12965087,1628168055,949867,29360974,35818499291
12965088,1628168056,17875577,29332303,31630881037
12965089,1628168060,7288169,29303660,32496112923
12965090,1628168086,29323894,29332275,30454641317
12965091,1628168107,9641285,29303632,34259296318
12965092,1628168115,6567567,29275017,32794825411
12965093,1628168133,29235303,29246430,30534772794
12965094,1628168153,2790368,29217871,34348715103
12965095,1628168156,29173751,29189339,30875219339
12965096,1628168158,3413673,29217843,34730499942
12965097,1628168162,10692009,29189311,31403623851
12965098,1628168206,29145600,29160807,30353948242
12965099,1628168218,28369625,29189283,34144234730
12965100,1628168236,19894241,29160779,38172565121
12965101,1628168263,29124413,29132303,39911573606
12965102,1628168330,0,29160751,44897818302
12965103,1628168331,3884479,29132275,39285591015
12965104,1628168332,29094782,29103827,35684471107
12965105,1628168341,6319579,29075407,40142257762
12965106,1628168344,29037692,29047015,37305719109
12965107,1628168372,2769515,29018650,41965940885
12965108,1628168376,0,28990313,37721496602
12965109,1628168377,29004619,29018622,33006309527
12965110,1628168390,11972446,29046959,37128116401
12965111,1628168398,0,29018594,36312927336
12965112,1628168399,29042772,29046931,31773811419
12965113,1628168401,29054844,29075296,35744400759
12965114,1628168419,12286594,29103688,40206165066
12965115,1628168440,29125626,29132108,39423815632
12965116,1628168459,29083731,29103660,44349599600
12965117,1628168461,16156596,29132080,49885707350
12965118,1628168475,5772540,29160528,50566623466
12965119,1628168480,29122806,29132052,46748303861
12965120,1628168484,159984,29160500,52588132571
12965121,1628168486,2273934,29132024,46086744906
12965122,1628168488,29090102,29103576,41225240406
12965123,1628168514,29131023,29131996,46373623973
12965124,1628168559,20777473,29103548,52169939753
12965125,1628168577,8172164,29131968,54959928981
12965126,1628168590,7315007,29103520,51944308022
12965127,1628168592,29122797,29131940,48715247355
12965128,1628168615,2374818,29103492,54800830979
12965129,1628168626,29101311,29131912,49068651374
12965130,1628168642,6981817,29103464,55189347014
12965131,1628168657,25328675,29131884,51600610414
12965132,1628168678,2658210,29103436,56366553396
12965133,1628168680,3812454,29075016,50607817093
12965134,1628168688,29027161,29046624,45940824209
12965135,1628168694,13084031,29018260,51675731450
12965136,1628168713,4141915,28989923,51041277203
12965137,1628168717,22833529,28961614,46484239323
12965138,1628168719,28983845,28989895,49835830229
12965139,1628168788,7819901,28961586,56062709334
12965140,1628168791,10755635,28989867,52839235557
12965141,1628168798,15416509,29018176,51135350070
12965142,1628168803,7223139,28989839,51535110641
12965143,1628168815,0,29018148,48303357614
12965144,1628168816,28978587,28989811,42265437913
12965145,1628168851,10529468,28961502,47544527033
12965146,1628168854,28835342,28989783,45922875285
12965147,1628168855,352969,28961474,51602072379
12965148,1628168856,16948010,28933193,45309038858
12965149,1628168875,6661774,28904939,46280505153
12965150,1628168880,28874360,28876713,43162030206
12965151,1628168888,2304085,28848515,48556405097
12965152,1628168894,24536460,28876686,43456385202
12965153,1628168917,2062846,28848488,47255537069
12965154,1628168921,23861161,28876659,42193361008
12965155,1628168943,16362123,28904857,45635422692
12965156,1628168963,6296856,28933083,46389186510
12965157,1628168973,3440604,28904830,43114517732
12965158,1628168976,28926170,28933056,39008206429
12965159,1628168984,28947583,28961309,43881911267
12965160,1628169034,8880543,28989590,49361951176
12965161,1628169041,10756077,29017899,46972037822
12965162,1628169046,24999709,28989563,45453319569
12965163,1628169060,7252910,28961254,49571041746
12965164,1628169069,2696210,28989535,46478241784
12965165,1628169071,28960403,28961226,41749154168
12965166,1628169130,25054106,28932945,46967501839
12965167,1628169134,3056218,28961198,51264288223
12965168,1628169141,15761844,28989479,46208706956
12965169,1628169151,16217417,28961170,46713642605
12965170,1628169169,9603843,28932889,47414009245
12965171,1628169182,19421255,28904636,45421852355
12965172,1628169183,4216807,28876410,47373946845
12965173,1628169192,28904114,28904608,43181701640
12965174,1628169203,25884906,28876382,48579229843
12965175,1628169235,4000115,28848184,53393480801
12965176,1628169248,11197743,28876355,48570192654
12965177,1628169255,21966401,28904553,47207585522
12965178,1628169272,1337441,28932779,50275646381
12965179,1628169274,19794807,28904526,44572198660
12965180,1628169282,830257,28932752,46631814968
12965181,1628169285,17705807,28904499,41137375846
12965182,1628169291,21206370,28932725,42295005692
12965183,1628169308,28935389,28960978,44758208575
12965184,1628169335,18252654,28932697,50343097914
12965185,1628169375,6205585,28904444,51990147792
12965186,1628169377,28874563,28876219,48281860959
12965187,1628169462,15720275,28848021,54316401777
12965188,1628169471,4137624,28876191,54926568874
12965189,1628169473,3401998,28847993,50028333254
12965190,1628169476,28807450,28819823,45249732121
12965191,1628169482,11205770,28791680,50901092345
12965192,1628169494,11343999,28763565,49491153366
12965193,1628169506,28723648,28735477,48184436087
12965194,1628169548,10715836,28707417,54202532218
12965195,1628169569,9587255,28679384,52485363785
12965196,1628169573,3298941,28651378,50311037231
12965197,1628169577,28617767,28623400,45470370151
12965198,1628169594,11107010,28651351,51151929311
12965199,1628169614,28612346,28623373,49715339722
12965200,1628169656,3964567,28595422,55924969479
12965201,1628169657,0,28567498,50872755503
12965202,1628169658,28587778,28595394,44513661066
12965203,1628169659,3851683,28623318,50074904794
12965204,1628169661,28464781,28595367,45500118056
12965205,1628169669,15394083,28623291,51135687045
12965206,1628169695,16232270,28595340,51619132613
12965207,1628169709,6801422,28623264,52492197716
12965208,1628169717,8881009,28651215,49048954589
12965209,1628169720,28666582,28679193,46718758040
12965210,1628169740,17421017,28651187,52553467333
12965211,1628169770,891269,28623209,53972913495
12965212,1628169778,28463732,28595258,47646451241
12965213,1628169798,15315713,28567334,53547469303
12965214,1628169822,6800410,28539438,54031093811
12965215,1628169824,5683600,28511569,50495854827
12965216,1628169828,28532361,28539411,46700379963
12965217,1628169831,2515002,28511542,52535043805
12965218,1628169838,14598782,28483700,47126691868
12965219,1628169846,9586503,28511515,47274329151
12965220,1628169848,28522536,28539357,45338831702
12965221,1628169858,1612927,28511488,50999505423
12965222,1628169860,25929618,28539330,45345842116
12965223,1628169873,1573314,28567199,49977436373
12965224,1628169875,27312240,28595095,44418372969
12965225,1628169890,3572240,28567172,49472487214
12965226,1628169894,28530339,28539276,44835023205
12965227,1628169928,10767257,28567145,50435891112
12965228,1628169930,12141857,28539249,48883859166
12965229,1628169936,4562599,28511380,47972715131
12965230,1628169947,26780962,28539222,43895361692
12965231,1628169949,3702188,28511353,48706199540
12965232,1628169967,28526948,28539195,44199044878
12965233,1628169980,931846,28511326,49719184100
12965234,1628169982,28471638,28483484,43910533616
12965235,1628170011,2039396,28511298,49394784828
12965236,1628170013,21567122,28483456,44103731539
12965237,1628170018,14571769,28455642,46939388230
12965238,1628170028,10840200,28427855,47081229246
12965239,1628170034,28392456,28400095,45684366734
12965240,1628170071,7686065,28372362,51391840955
12965241,1628170081,28384844,28400068,48448369703
12965242,1628170104,2677452,28427801,54497923167
12965243,1628170110,22756791,28400041,48968894745
12965244,1628170115,4969699,28427774,52657407318
12965245,1628170121,28394697,28400014,48376602806
12965246,1628170185,10035468,28372281,54421413911
12965247,1628170192,28399766,28399987,52431043038
12965248,1628170232,22518473,28372254,58984821878
12965249,1628170267,2352942,28344548,63315478376
12965250,1628170277,17993277,28316869,56715032149
12965251,1628170287,28277009,28289217,58635206054
12965252,1628170309,4293216,28261592,65958281432
12965253,1628170317,28288186,28289190,60218425463
12965254,1628170356,19472103,28316815,67745194349
12965255,1628170376,159325,28344467,70923318203
12965256,1628170377,26950044,28316788,62157568894
12965257,1628170390,1554337,28289136,69177237457
12965258,1628170393,17694047,28316761,61480312748
